timestamp,outdoor_temp,outdoor_feels_like,outdoor_pressure,outdoor_humidity,outdoor_weather,outdoor_pm25,outdoor_pm10,indoor_temp,indoor_light
2024-04-23 06:00:15,30.27,37.27,1006.0,78.0,Clouds,101.0,57.0,28.25,19.0
2024-04-23 06:05:02,30.27,37.27,1006.0,78.0,Clouds,101.0,57.0,28.25,19.0
2024-04-23 06:10:02,30.27,37.27,1006.0,78.0,Clouds,99.0,57.0,28.0,20.0
2024-04-23 06:15:02,30.27,37.27,1006.0,78.0,Clouds,101.0,57.0,28.0,21.0
2024-04-23 06:20:02,30.27,37.27,1006.0,82.0,Clouds,101.0,57.0,28.0,22.0
2024-04-23 06:25:02,30.27,37.27,1006.0,82.0,Clouds,101.0,57.0,28.0,23.0
2024-04-23 06:30:02,30.27,37.27,1006.0,82.0,Clouds,101.0,57.0,28.0,24.0
2024-04-23 06:35:02,30.23,37.23,1006.0,82.0,Clouds,101.0,57.0,28.0,25.0
2024-04-23 06:40:03,30.23,37.23,1006.0,82.0,Clouds,104.0,59.0,28.0,26.0
2024-04-23 06:45:02,30.23,37.23,1006.0,82.0,Clouds,104.0,59.0,28.0,26.0
2024-04-23 06:50:02,30.92,37.92,1006.0,78.0,Clouds,104.0,59.0,27.75,27.0
2024-04-23 06:55:02,30.97,37.97,1006.0,78.0,Clouds,104.0,59.0,27.75,26.0
2024-04-23 07:00:03,30.97,37.97,1006.0,78.0,Clouds,104.0,59.0,27.75,24.0
2024-04-23 07:05:03,30.88,37.88,1006.0,78.0,Clouds,104.0,59.0,27.75,24.0
2024-04-23 07:10:03,30.88,37.88,1006.0,78.0,Clouds,104.0,59.0,27.75,25.0
2024-04-23 07:15:03,30.88,37.88,1006.0,78.0,Clouds,104.0,59.0,27.75,25.0
2024-04-23 07:20:03,30.88,37.88,1006.0,78.0,Clouds,104.0,59.0,27.75,29.0
2024-04-23 07:25:03,32.03,39.03,1008.0,86.0,Clouds,104.0,59.0,27.75,31.0
2024-04-23 07:30:03,32.03,39.03,1008.0,86.0,Clouds,104.0,59.0,28.0,31.0
2024-04-23 07:35:04,32.61,39.61,1008.0,86.0,Clouds,104.0,59.0,27.75,28.0
2024-04-23 07:40:03,32.61,39.61,1008.0,86.0,Clouds,104.0,59.0,27.75,30.0
2024-04-23 07:45:03,32.61,39.61,1008.0,86.0,Clouds,104.0,59.0,27.75,32.0
2024-04-23 07:50:04,32.64,39.64,1008.0,86.0,Clouds,104.0,59.0,27.75,32.0
2024-04-23 07:55:03,32.64,39.64,1008.0,86.0,Clouds,104.0,59.0,27.75,30.0
2024-04-23 08:00:05,32.72,39.72,1008.0,86.0,Clouds,104.0,59.0,27.75,34.0
2024-04-23 08:05:03,32.7,39.7,1008.0,85.0,Clouds,104.0,59.0,28.0,37.0
2024-04-23 08:10:03,32.72,39.72,1008.0,86.0,Clouds,104.0,59.0,27.75,37.0
2024-04-23 08:15:05,32.7,39.7,1008.0,85.0,Clouds,104.0,59.0,27.75,41.0
2024-04-23 08:20:03,32.69,39.69,1008.0,85.0,Clouds,104.0,59.0,28.0,41.0
2024-04-23 08:25:04,32.69,39.69,1008.0,85.0,Clouds,104.0,59.0,28.0,39.0
2024-04-23 08:30:05,33.22,40.22,1009.0,81.0,Clouds,104.0,59.0,28.0,41.0
2024-04-23 08:35:04,33.27,40.27,1009.0,81.0,Clouds,116.0,61.0,28.0,45.0
2024-04-23 08:40:04,33.22,40.22,1009.0,81.0,Clouds,116.0,63.0,28.0,45.0
2024-04-23 08:45:04,33.27,40.27,1009.0,80.0,Clouds,116.0,63.0,28.0,44.0
2024-04-23 08:50:04,33.27,40.27,1009.0,80.0,Clouds,121.0,62.0,28.0,43.0
2024-04-23 08:55:04,33.51,40.51,1009.0,79.0,Clouds,121.0,62.0,27.75,40.0
2024-04-23 09:00:11,33.51,40.51,1009.0,79.0,Clouds,121.0,64.0,27.75,39.0
2024-04-23 09:05:05,33.82,40.82,1009.0,79.0,Clouds,121.0,63.0,27.75,37.0
2024-04-23 09:10:05,33.82,40.82,1009.0,79.0,Clouds,121.0,63.0,28.0,41.0
2024-04-23 09:15:05,33.8,40.8,1009.0,78.0,Clouds,121.0,63.0,27.75,43.0
2024-04-23 09:20:05,34.3,41.3,1009.0,77.0,Clouds,124.0,63.0,27.75,42.0
2024-04-23 09:25:06,34.54,41.54,1009.0,75.0,Clouds,124.0,63.0,27.75,45.0
2024-04-23 09:30:05,34.53,41.53,1009.0,75.0,Clouds,124.0,63.0,28.0,45.0
2024-04-23 09:35:05,34.53,41.53,1009.0,75.0,Clouds,124.0,63.0,28.0,56.0
2024-04-23 09:40:05,34.53,41.53,1009.0,75.0,Clouds,124.0,63.0,29.0,40.0
2024-04-23 09:45:06,34.72,41.72,1009.0,71.0,Clouds,124.0,63.0,29.25,36.0
2024-04-23 09:50:05,34.72,41.72,1009.0,71.0,Clouds,124.0,63.0,29.75,37.0
2024-04-23 09:55:05,34.96,41.96,1009.0,69.0,Clouds,124.0,63.0,30.0,51.0
2024-04-23 10:00:06,35.2,42.2,1009.0,69.0,Clouds,114.0,61.0,30.25,53.0
2024-04-23 10:05:05,35.2,42.2,1009.0,69.0,Clouds,114.0,61.0,30.25,45.0
2024-04-23 10:10:05,35.2,42.2,1009.0,69.0,Clouds,111.0,60.0,30.5,42.0
2024-04-23 10:15:05,35.2,42.2,1009.0,69.0,Clouds,111.0,60.0,30.5,40.0
2024-04-23 10:20:05,35.2,42.2,1009.0,68.0,Clouds,116.0,63.0,30.75,52.0
2024-04-23 10:25:06,35.33,42.33,1009.0,68.0,Clouds,116.0,63.0,30.75,52.0
2024-04-23 10:30:06,35.35,42.35,1009.0,67.0,Clouds,121.0,63.0,30.75,52.0
2024-04-23 10:35:06,35.35,42.35,1009.0,67.0,Clouds,121.0,63.0,30.75,52.0
2024-04-23 10:40:06,35.35,42.35,1009.0,67.0,Clouds,124.0,63.0,31.0,41.0
2024-04-23 10:45:07,35.79,42.79,1009.0,65.0,Clouds,124.0,63.0,31.0,48.0
2024-04-23 10:50:06,35.8,42.8,1009.0,65.0,Clouds,124.0,64.0,31.0,42.0
2024-04-23 10:55:06,35.79,42.79,1009.0,65.0,Clouds,124.0,65.0,31.25,50.0
